,Unnamed: 0,organism,read_count,sample_name,genome_size,genome_equivalents,experiment_name,replicate,sampling_day,genome_recovery,absolute_counts,groupings,initial_FCM_cell_count_added
0,107,Alteromonas_1904,7317905,D24-119025,4921157,1.487029371,1904_Alteromonas,A1,0,4.47E-08,33263964.71,hets,9.00E+04
1,105,Thalassospira_1907,1231819,D24-119025,4827886,0.255146663,1907_Thalassospira,A1,0,4.47E-08,5707479.461,hets,1.80E+05
2,102,Marinobacter_1943,724384,D24-119025,4800114,0.150909749,1943_Marinobacter,A1,0,4.47E-08,3375761.544,hets,9.00E+04
3,104,Pseudohoeflea_1940,402601,D24-119025,4522713,0.089017587,1940_Pseudohoeflea,A1,0,4.47E-08,1991270.603,hets,9.00E+04
4,106,MED4,3574733,D24-119025,1657990,2.156064271,MED4,A1,0,4.47E-08,48229878.45,pro,2.50E+07
5,103,Thermus_thermophilus_ATCC_BAA_163,72531,D24-119025,2143708,0.033834366,Thermus_standard,A1,0,4.47E-08,756854.692,hets,9.00E+04
6,47,Alteromonas_1904,6812459,D24-119026,4921157,1.384320598,1904_Alteromonas,B1,0,3.07E-08,45038629.26,hets,9.00E+04
7,45,Thalassospira_1907,820097,D24-119026,4827886,0.169866687,1907_Thalassospira,B1,0,3.07E-08,5526583.041,hets,1.80E+05
8,42,Marinobacter_1943,480406,D24-119026,4800114,0.100082206,1943_Marinobacter,B1,0,3.07E-08,3256157.12,hets,9.00E+04
9,44,Pseudohoeflea_1940,270623,D24-119026,4522713,0.05983643,1940_Pseudohoeflea,B1,0,3.07E-08,1946767.816,hets,9.00E+04
10,46,MED4,2553393,D24-119026,1657990,1.540053318,MED4,B1,0,3.07E-08,50105366.15,pro,2.50E+07
11,43,Thermus_thermophilus_ATCC_BAA_163,44161,D24-119026,2143708,0.020600287,Thermus_standard,B1,0,3.07E-08,670226.7453,hets,9.00E+04
12,65,Alteromonas_1904,6754418,D24-119027,4921157,1.37252642,1904_Alteromonas,C1,0,3.06E-08,44878651.52,hets,9.00E+04
13,63,Thalassospira_1907,1025177,D24-119027,4827886,0.212344906,1907_Thalassospira,C1,0,3.06E-08,6943220.108,hets,1.80E+05
14,60,Marinobacter_1943,575788,D24-119027,4800114,0.119952984,1943_Marinobacter,C1,0,3.06E-08,3922203.674,hets,9.00E+04
15,62,Pseudohoeflea_1940,297044,D24-119027,4522713,0.065678278,1940_Pseudohoeflea,C1,0,3.06E-08,2147537.933,hets,9.00E+04
16,64,MED4,3449994,D24-119027,1657990,2.080829197,MED4,C1,0,3.06E-08,68038623.55,pro,2.50E+07
17,61,Thermus_thermophilus_ATCC_BAA_163,43343,D24-119027,2143708,0.020218705,Thermus_standard,C1,0,3.06E-08,661108.0141,hets,9.00E+04
18,5,Alteromonas_1904,4670987,D24-119028,4921157,0.949164394,1904_Alteromonas,A1,1,1.70E-08,55741956.16,hets,na
19,3,Thalassospira_1907,1829088,D24-119028,4827886,0.378858987,1907_Thalassospira,A1,1,1.70E-08,22249402.93,hets,na
20,0,Marinobacter_1943,2989577,D24-119028,4800114,0.62281375,1943_Marinobacter,A1,1,1.70E-08,36576231.65,hets,na
21,2,Pseudohoeflea_1940,396347,D24-119028,4522713,0.087634789,1940_Pseudohoeflea,A1,1,1.70E-08,5146563.227,hets,na
22,4,MED4,1247948,D24-119028,1657990,0.75268729,MED4,A1,1,1.70E-08,44203366.86,pro,na
23,1,Thermus_thermophilus_ATCC_BAA_163,44603,D24-119028,2143708,0.020806472,Thermus_standard,A1,1,1.70E-08,1221909.985,hets,na
24,119,Alteromonas_1904,4762261,D24-119029,4921157,0.967711658,1904_Alteromonas,B1,1,1.74E-08,55508512.44,hets,na
25,117,Thalassospira_1907,1777082,D24-119029,4827886,0.368086985,1907_Thalassospira,B1,1,1.74E-08,21113686.93,hets,na
