experiment,het_count,pro_counts,total_cell_count,het_ratio,sample_name,experiment_day,rep,new_name
FCM,0,28581283.59,,,D24-119025,day 0,R1,day 0_R1
FCM,2000690.36,25181984.77,27182675.13,7.360167277,D24-119026,day 0,R2,day 0_R2
FCM,2527756.492,23866624.96,26394381.45,9.576873383,D24-119027,day 0,R3,day 0_R3
FCM,9629029.728,35623902.64,45252932.37,21.2782448,D24-119028,day 1,R1,day 1_R1
FCM,9787510.605,35873899.66,45661410.27,21.43497222,D24-119029,day 1,R2,day 1_R2
FCM,10044943.39,35393832.49,45438775.88,22.1065449,D24-119030,day 1,R3,day 1_R3
FCM,10731013.97,51814740.55,62545754.52,17.15706214,D24-119031,day2,R1,day2_R1
FCM,10405849.87,51503444.4,61909294.27,16.80821917,D24-119032,day2,R2,day2_R2
FCM,11138183.73,51261087.69,62399271.42,17.84986183,D24-119033,day2,R3,day2_R3
FCM,11559499.32,64562446.91,76121946.23,15.18550154,D24-119034,day 3,R1,day 3_R1
FCM,11435567.63,63928922.32,75364489.95,15.17368145,D24-119035,day 3,R2,day 3_R2
FCM,11859475.12,66724036.17,78583511.29,15.09155665,D24-119036,day 3,R3,day 3_R3
FCM,13300483.79,77901824,91202307.79,14.58349477,D24-119037,day 4,R1,day 4_R1
FCM,12876247,80317534.11,93193781.11,13.8166376,D24-119038,day 4,R2,day 4_R2
FCM,12070451.36,77956176.22,90026627.58,13.40764581,D24-119039,day 4,R3,day 4_R3
FCM,16440959.55,86808266.41,103249226,15.92356688,D24-119040,day 5,R1,day 5_R1
FCM,15685247.7,96546127.65,112231375.4,13.97581349,D24-119041,day 5,R2,day 5_R2
FCM,18175967.2,103514861.7,121690828.9,14.93618489,D24-119042,day 5,R3,day 5_R3
FCM,19994980.5,179808579.2,199803559.7,10.00731945,D24-119043,day 6,R1,day 6_R1
FCM,15489932.22,109741906.9,125231839.1,12.36900482,D24-119044,day 6,R2,day 6_R2
FCM,13510263.71,115417548.1,128927811.8,10.47893664,D24-119045,day 6,R3,day 6_R3
metaG,2.015937736,2.156064271,4.172002007,48.32063198,D24-119025,day 0,R1,day 0_R1
metaG,1.734706208,1.540053318,3.274759526,52.97201807,D24-119026,day 0,R2,day 0_R2
metaG,1.790721293,2.080829197,3.87155049,46.25333694,D24-119027,day 0,R3,day 0_R3
metaG,2.059278392,0.75268729,2.811965682,73.2327,D24-119028,day 1,R1,day 1_R1
metaG,2.047507013,1.01976369,3.067270703,66.75338473,D24-119029,day 1,R2,day 1_R2
metaG,2.179505217,0.986443223,3.16594844,68.8420945,D24-119030,day 1,R3,day 1_R3
metaG,2.304564315,1.233992364,3.538556679,65.1272404,D24-119031,day2,R1,day2_R1
metaG,2.058083165,1.257532313,3.315615478,62.07243206,D24-119032,day2,R2,day2_R2
metaG,2.256841236,1.344087118,3.600928354,62.67387224,D24-119033,day2,R3,day2_R3
metaG,1.969618284,1.626005585,3.595623869,54.77820695,D24-119034,day 3,R1,day 3_R1
metaG,1.759641895,1.427155773,3.186797668,55.21661801,D24-119035,day 3,R2,day 3_R2
metaG,1.996155323,1.698017479,3.694172802,54.03524497,D24-119036,day 3,R3,day 3_R3
metaG,1.953272107,2.472420823,4.42569293,44.13483127,D24-119037,day 4,R1,day 4_R1
metaG,1.896972092,2.285180248,4.18215234,45.35875161,D24-119038,day 4,R2,day 4_R2
metaG,1.901616791,2.082455262,3.984072053,47.73048192,D24-119039,day 4,R3,day 4_R3
metaG,2.037793029,2.262077576,4.299870605,47.39196167,D24-119040,day 5,R1,day 5_R1
metaG,2.447005635,2.433336751,4.880342386,50.14004022,D24-119041,day 5,R2,day 5_R2
metaG,2.288517194,2.406630921,4.695148115,48.74217251,D24-119042,day 5,R3,day 5_R3
metaG,1.675724108,2.679126533,4.354850641,38.4794852,D24-119043,day 6,R1,day 6_R1
metaG,1.807926244,3.026742019,4.834668263,37.39504234,D24-119044,day 6,R2,day 6_R2
metaG,1.973768217,2.841752966,4.815521183,40.9876344,D24-119045,day 6,R3,day 6_R3
