em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K00001,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00002,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00016,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00114,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00121,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00128,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00129,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00131,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00134,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00138,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00149,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00150,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00161,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00162,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00163,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00169,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00170,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00171,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00172,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00174,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00175,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00189,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00382,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00627,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00844,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00845,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00850,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00873,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00886,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00895,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00918,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00927,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01006,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01007,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01084,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01085,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01086,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01222,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01223,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01568,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01596,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01610,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01622,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01623,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01624,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01689,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01785,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01792,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01803,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01810,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01834,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01835,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01837,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01895,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01905,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01913,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02446,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02753,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02777,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02779,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02791,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K03103,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K03737,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K03841,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K04022,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K04041,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K04072,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K06859,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K08074,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K10705,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K11389,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K11532,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K11645,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K12406,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K12407,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K12957,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13810,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13951,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
