em_COG_cat	updated_COG_name
J	"J (Translation,  ribosomal structure and biogenesis)"
A	A (RNA processing and modification)
K	K (Transcription)
L	"L (Replication, recombination and repair)"
B	B (Chromatin structure and dynamics)
D	"D (Cell cycle control, cell division, chromosome partitioning)"
Y	Y (Nuclear structure)
V	V (Defense mechanisms)
T	T (Signal transduction mechanisms)
M	M (Cell wall/membrane/envelope biogenesis)
N	N (Cell motility)
Z	Z (Cytoskeleton)
W	W (Extracellular structures)
U	"U (Intracellular trafficking, secretion, and vesicular transport)"
O	"O (Posttranslational modification, protein turnover, chaperones)"
X	"X (Mobilome: prophages, transposons)"
C	C (Energy production and conversion)
G	G (Carbohydrate transport and metabolism)
E	E (Amino acid transport and metabolism)
F	F (Nucleotide transport and metabolism)
H	H (Coenzyme transport and metabolism)
I	I (Lipid transport and metabolism)
P	P (Inorganic ion transport and metabolism)
Q	"Q (Secondary metabolites biosynthesis, transport and catabolism)"
R	R (General function prediction only)
S	S (Function unknown)
-	No COG
