ID,day,organism,em_Preferred_name,em_desc,Marinobacter_LFC,Marinobacter_pvalue,Marinobacter_padj,Alteromonas_LFC,Alteromonas_pvalue,Alteromonas_padj,Pseudohoeflea_LFC,Pseudohoeflea_pvalue,Pseudohoeflea_padj,Thalassospira_1_LFC,Thalassospira_1_pvalue,Thalassospira_1_padj,Thalassospira_2_LFC,Thalassospira_2_pvalue,Thalassospira_2_padj
1_1_MED4_genome,5,MED4,dnaN,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",0.246667627,0.167377118,0.531579157,0.39050505,0.00568179,0.06118058,0.178497123,0.214779131,0.583257561,0.219556109,0.064555702,0.17368558,0.176938769,0.310962936,0.729703177
1_10_MED4_genome,5,MED4,ftsY,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC),-0.188771799,0.219636568,0.547675811,-0.1987383,0.20083915,0.39031472,0.074403913,0.513930233,0.718131449,-0.151664397,0.294529494,0.434904259,-0.206295572,0.390327709,0.75303371
1_100_MED4_genome,5,MED4,rbn,Serum resistance locus BrkB-like protein,-0.138860914,0.287319826,0.576491998,0.2129683,0.07846754,0.23589381,-0.064174427,0.647791218,0.801292292,-0.046764758,0.647185598,0.758937978,-0.051962521,0.649647578,0.856518285
1_1000_MED4_genome,5,MED4,suhB,Belongs to the inositol monophosphatase superfamily,-0.111136609,0.458839331,0.698439266,0.04527166,0.67311234,0.79768588,-0.086154965,0.631119985,0.789078464,-0.271031094,0.030313046,0.122741137,0.087918913,0.435464359,0.770992657
1_1001_MED4_genome,5,MED4,hisZ,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,0.343812142,0.234131974,0.554913811,0.17946588,0.37900254,0.5643906,0.454718226,0.082492985,0.534361361,0.468599446,0.057043974,0.164536747,0.215061454,0.593320482,0.839754727
1_1002_MED4_genome,5,MED4,htpG,Chaperone protein HtpG,0.18927028,0.241417458,0.558098386,0.43452062,0.00076375,0.0392812,-0.013503439,0.926804374,0.953201854,0.307126167,0.028728813,0.120928331,0.178184903,0.479727447,0.789034582
1_1003_MED4_genome,5,MED4,rpmB,Belongs to the bacterial ribosomal protein bL28 family,0.294970236,0.067561638,0.513773,-0.2953382,0.16925529,0.35150207,-0.11271709,0.689938563,0.822903357,0.055646359,0.650286285,0.761243116,0.249932034,0.095901395,0.726824113
1_1004_MED4_genome,5,MED4,,Alkyl hydroperoxide reductase,0.125963136,0.336633124,0.611123959,0.33189679,0.0016845,0.04346798,0.262298518,0.060813558,0.534361361,0.1748063,0.111469171,0.237397203,0.336700602,0.011488125,0.726824113
1_1005_MED4_genome,5,MED4,ycf49,Alternative locus ID,0.402966725,0.171812597,0.532223974,0.4674939,0.05798107,0.20087706,0.528894761,0.03201967,0.534361361,0.196020724,0.470683913,0.604400934,0.426868721,0.209479594,0.726824113
1_1006_MED4_genome,5,MED4,,Alternative locus ID,0.446519017,0.43516369,0.685766569,0.61768308,0.10266752,0.26833238,0.536520882,0.142687,0.536097533,0.845580765,0.03015675,0.122741137,-0.059101025,0.829233997,0.923374053
1_1007_MED4_genome,5,MED4,psaK,Photosystem I subunit X PsaK,-0.246503451,0.318137192,0.593917926,-0.2529953,0.05893877,0.20227639,-0.461322457,0.084451798,0.534361361,-0.545525948,0.017246886,0.103610909,-0.322776888,0.347379715,0.738181895
1_1008_MED4_genome,5,MED4,dxs,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP),-0.251669993,0.187585205,0.539510648,-0.3375653,0.00195833,0.04431744,-0.301028584,0.142955555,0.536097533,-0.219974089,0.045171852,0.146243544,-0.225122802,0.178103218,0.726824113
1_1009_MED4_genome,5,MED4,ilvA,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA",-0.097973039,0.412389308,0.672617944,0.07755313,0.51914804,0.68946422,0.065968857,0.637965755,0.792711653,0.158996437,0.124017823,0.250332351,0.012798923,0.903453772,0.962975967
1_101_MED4_genome,5,MED4,,Belongs to the inositol monophosphatase superfamily,0.042466019,0.719012367,0.859503894,0.13561541,0.26689609,0.45982725,0.156715277,0.170423031,0.551149231,0.107907248,0.289961479,0.432023221,0.198800732,0.090091157,0.726824113
1_1010_MED4_genome,5,MED4,,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves,0.367595165,0.15645751,0.531579157,-0.1098245,0.21863155,0.4113528,0.06531216,0.864682035,0.916989281,0.075989375,0.635810515,0.749320245,0.05087898,0.869223803,0.94880345
1_1011_MED4_genome,5,MED4,ycf19,Alternative locus ID,0.366945251,0.128165385,0.513773,0.07239006,0.32532579,0.51980478,0.179781186,0.417141964,0.670616516,0.326224653,0.012540414,0.09447112,0.153105109,0.43633441,0.771393764
